RegionID,SizeRank,Region Name,Region Type,State Name,Base Date Recorded,Forecast Date,Forecast Growth (%)
394913,1,"New York, NY",msa,New York,2024-02-29,2024-03-31,0.5
753899,2,"Los Angeles, CA",msa,California,2024-02-29,2024-03-31,1.0
394463,3,"Chicago, IL",msa,Illinois,2024-02-29,2024-03-31,1.1
394514,4,"Dallas, TX",msa,Texas,2024-02-29,2024-03-31,1.1
394692,5,"Houston, TX",msa,Texas,2024-02-29,2024-03-31,0.8
395209,6,"Washington, DC",msa,Virginia,2024-02-29,2024-03-31,1.2
394974,7,"Philadelphia, PA",msa,Pennsylvania,2024-02-29,2024-03-31,0.9
394856,8,"Miami, FL",msa,Florida,2024-02-29,2024-03-31,0.9
394347,9,"Atlanta, GA",msa,Georgia,2024-02-29,2024-03-31,1.0
394404,10,"Boston, MA",msa,Massachusetts,2024-02-29,2024-03-31,1.3
394976,11,"Phoenix, AZ",msa,Arizona,2024-02-29,2024-03-31,1.2
395057,12,"San Francisco, CA",msa,California,2024-02-29,2024-03-31,1.5
395025,13,"Riverside, CA",msa,California,2024-02-29,2024-03-31,1.0
394532,14,"Detroit, MI",msa,Michigan,2024-02-29,2024-03-31,1.1
395078,15,"Seattle, WA",msa,Washington,2024-02-29,2024-03-31,2.1
394865,16,"Minneapolis, MN",msa,Minnesota,2024-02-29,2024-03-31,1.1
395056,17,"San Diego, CA",msa,California,2024-02-29,2024-03-31,1.5
395148,18,"Tampa, FL",msa,Florida,2024-02-29,2024-03-31,0.8
394530,19,"Denver, CO",msa,Colorado,2024-02-29,2024-03-31,1.8
394358,20,"Baltimore, MD",msa,Maryland,2024-02-29,2024-03-31,0.7
395121,21,"St. Louis, MO",msa,Missouri,2024-02-29,2024-03-31,1.2
394943,22,"Orlando, FL",msa,Florida,2024-02-29,2024-03-31,0.8
394458,23,"Charlotte, NC",msa,North Carolina,2024-02-29,2024-03-31,1.0
395055,24,"San Antonio, TX",msa,Texas,2024-02-29,2024-03-31,0.7
394998,25,"Portland, OR",msa,Oregon,2024-02-29,2024-03-31,1.5
395045,26,"Sacramento, CA",msa,California,2024-02-29,2024-03-31,1.4
394982,27,"Pittsburgh, PA",msa,Pennsylvania,2024-02-29,2024-03-31,0.9
394466,28,"Cincinnati, OH",msa,Ohio,2024-02-29,2024-03-31,1.2
394355,29,"Austin, TX",msa,Texas,2024-02-29,2024-03-31,0.9
394775,30,"Las Vegas, NV",msa,Nevada,2024-02-29,2024-03-31,1.2
394735,31,"Kansas City, MO",msa,Missouri,2024-02-29,2024-03-31,1.6
394492,32,"Columbus, OH",msa,Ohio,2024-02-29,2024-03-31,1.4
394705,34,"Indianapolis, IN",msa,Indiana,2024-02-29,2024-03-31,1.0
394475,35,"Cleveland, OH",msa,Ohio,2024-02-29,2024-03-31,1.2
395059,36,"San Jose, CA",msa,California,2024-02-29,2024-03-31,1.5
394902,37,"Nashville, TN",msa,Tennessee,2024-02-29,2024-03-31,0.9
395194,38,"Virginia Beach, VA",msa,Virginia,2024-02-29,2024-03-31,0.8
395005,39,"Providence, RI",msa,Rhode Island,2024-02-29,2024-03-31,1.1
394714,40,"Jacksonville, FL",msa,Florida,2024-02-29,2024-03-31,0.8
394862,41,"Milwaukee, WI",msa,Wisconsin,2024-02-29,2024-03-31,1.2
394935,42,"Oklahoma City, OK",msa,Oklahoma,2024-02-29,2024-03-31,0.9
395012,43,"Raleigh, NC",msa,North Carolina,2024-02-29,2024-03-31,1.1
394849,44,"Memphis, TN",msa,Tennessee,2024-02-29,2024-03-31,0.9
395022,45,"Richmond, VA",msa,Virginia,2024-02-29,2024-03-31,1.0
394807,46,"Louisville, KY",msa,Kentucky,2024-02-29,2024-03-31,0.8
394910,47,"New Orleans, LA",msa,Louisiana,2024-02-29,2024-03-31,0.4
395053,48,"Salt Lake City, UT",msa,Utah,2024-02-29,2024-03-31,1.5
394669,49,"Hartford, CT",msa,Connecticut,2024-02-29,2024-03-31,1.6
394425,50,"Buffalo, NY",msa,New York,2024-02-29,2024-03-31,1.0
394388,51,"Birmingham, AL",msa,Alabama,2024-02-29,2024-03-31,0.9
395031,52,"Rochester, NY",msa,New York,2024-02-29,2024-03-31,1.6
394640,53,"Grand Rapids, MI",msa,Michigan,2024-02-29,2024-03-31,1.6
395167,54,"Tucson, AZ",msa,Arizona,2024-02-29,2024-03-31,0.7
753924,55,"Urban Honolulu, HI",msa,Hawaii,2024-02-29,2024-03-31,0.9
395169,56,"Tulsa, OK",msa,Oklahoma,2024-02-29,2024-03-31,1.0
394619,57,"Fresno, CA",msa,California,2024-02-29,2024-03-31,1.0
395238,58,"Worcester, MA",msa,Massachusetts,2024-02-29,2024-03-31,1.2
394938,59,"Omaha, NE",msa,Nebraska,2024-02-29,2024-03-31,1.6
394415,60,"Bridgeport, CT",msa,Connecticut,2024-02-29,2024-03-31,1.3
394653,61,"Greenville, SC",msa,South Carolina,2024-02-29,2024-03-31,0.9
394312,62,"Albuquerque, NM",msa,New Mexico,2024-02-29,2024-03-31,1.1
394357,63,"Bakersfield, CA",msa,California,2024-02-29,2024-03-31,1.0
394308,64,"Albany, NY",msa,New York,2024-02-29,2024-03-31,0.4
394753,65,"Knoxville, TN",msa,Tennessee,2024-02-29,2024-03-31,1.1
394367,66,"Baton Rouge, LA",msa,Louisiana,2024-02-29,2024-03-31,0.5
394843,67,"McAllen, TX",msa,Texas,2024-02-29,2024-03-31,1.2
394908,68,"New Haven, CT",msa,Connecticut,2024-02-29,2024-03-31,1.3
394561,69,"El Paso, TX",msa,Texas,2024-02-29,2024-03-31,0.8
394318,70,"Allentown, PA",msa,Pennsylvania,2024-02-29,2024-03-31,1.0
394952,71,"Oxnard, CA",msa,California,2024-02-29,2024-03-31,1.3
394486,72,"Columbia, SC",msa,South Carolina,2024-02-29,2024-03-31,1.0
753906,73,"North Port, FL",msa,Florida,2024-02-29,2024-03-31,0.8
394457,75,"Charleston, SC",msa,South Carolina,2024-02-29,2024-03-31,1.0
394648,76,"Greensboro, NC",msa,North Carolina,2024-02-29,2024-03-31,1.0
395134,77,"Stockton, CA",msa,California,2024-02-29,2024-03-31,1.4
394440,78,"Cape Coral, FL",msa,Florida,2024-02-29,2024-03-31,0.7
394399,79,"Boise City, ID",msa,Idaho,2024-02-29,2024-03-31,1.8
394484,80,"Colorado Springs, CO",msa,Colorado,2024-02-29,2024-03-31,1.4
394798,81,"Little Rock, AR",msa,Arkansas,2024-02-29,2024-03-31,0.8
394766,82,"Lakeland, FL",msa,Florida,2024-02-29,2024-03-31,0.6
394304,83,"Akron, OH",msa,Ohio,2024-02-29,2024-03-31,1.0
394531,84,"Des Moines, IA",msa,Iowa,2024-02-29,2024-03-31,0.8
395115,85,"Springfield, MA",msa,Massachusetts,2024-02-29,2024-03-31,1.0
394931,87,"Ogden, UT",msa,Utah,2024-02-29,2024-03-31,1.6
394816,88,"Madison, WI",msa,Wisconsin,2024-02-29,2024-03-31,1.4
395235,89,"Winston, NC",msa,North Carolina,2024-02-29,2024-03-31,1.0
394528,90,"Deltona, FL",msa,Florida,2024-02-29,2024-03-31,0.7
395143,91,"Syracuse, NY",msa,New York,2024-02-29,2024-03-31,1.1
395006,92,"Provo, UT",msa,Utah,2024-02-29,2024-03-31,1.5
395160,93,"Toledo, OH",msa,Ohio,2024-02-29,2024-03-31,0.9
395224,94,"Wichita, KS",msa,Kansas,2024-02-29,2024-03-31,1.1
394549,95,"Durham, NC",msa,North Carolina,2024-02-29,2024-03-31,1.0
394352,96,"Augusta, GA",msa,Georgia,2024-02-29,2024-03-31,0.9
394957,97,"Palm Bay, FL",msa,Florida,2024-02-29,2024-03-31,0.7
