RegionID,SizeRank,Region Name,Region Type,State Name,Date Recorded,Monthly Rent,Coordinates,Latitude,Longitude
394913,1,"New York, NY",msa,New York,2023-01-31,3015.525857280541,"(42.165726, -74.948051)",42.165726,-74.948051
753899,2,"Los Angeles, CA",msa,California,2023-01-31,2818.789012888656,"(36.116203, -119.681564)",36.116203,-119.681564
394463,3,"Chicago, IL",msa,Illinois,2023-01-31,1871.407105747368,"(40.349457, -88.986137)",40.349457,-88.986137
394514,4,"Dallas, TX",msa,Texas,2023-01-31,1735.3754680885145,"(31.054487, -97.563461)",31.054487,-97.563461
394692,5,"Houston, TX",msa,Texas,2023-01-31,1604.5647978353973,"(31.054487, -97.563461)",31.054487,-97.563461
395209,6,"Washington, DC",msa,Virginia,2023-01-31,2154.138610487917,"(37.769337, -78.169968)",37.769337,-78.169968
394974,7,"Philadelphia, PA",msa,Pennsylvania,2023-01-31,1739.7886907539344,"(40.590752, -77.209755)",40.590752,-77.209755
394856,8,"Miami, FL",msa,Florida,2023-01-31,2648.619172029502,"(27.766279, -81.686783)",27.766279,-81.686783
394347,9,"Atlanta, GA",msa,Georgia,2023-01-31,1892.4552477328773,"(33.040619, -83.643074)",33.040619,-83.643074
394404,10,"Boston, MA",msa,Massachusetts,2023-01-31,2852.844743807741,"(42.230171, -71.530106)",42.230171,-71.530106
394976,11,"Phoenix, AZ",msa,Arizona,2023-01-31,1817.4917648745093,"(33.729759, -111.431221)",33.729759,-111.431221
395057,12,"San Francisco, CA",msa,California,2023-01-31,2966.317488575213,"(36.116203, -119.681564)",36.116203,-119.681564
395025,13,"Riverside, CA",msa,California,2023-01-31,2425.5563681757,"(36.116203, -119.681564)",36.116203,-119.681564
394532,14,"Detroit, MI",msa,Michigan,2023-01-31,1326.316305949191,"(43.326618, -84.536095)",43.326618,-84.536095
395078,15,"Seattle, WA",msa,Washington,2023-01-31,2090.2832745789938,"(47.400902, -121.490494)",47.400902,-121.490494
394865,16,"Minneapolis, MN",msa,Minnesota,2023-01-31,1559.2147831832813,"(45.694454, -93.900192)",45.694454,-93.900192
395056,17,"San Diego, CA",msa,California,2023-01-31,2842.0191361812253,"(36.116203, -119.681564)",36.116203,-119.681564
395148,18,"Tampa, FL",msa,Florida,2023-01-31,2033.366580361053,"(27.766279, -81.686783)",27.766279,-81.686783
394530,19,"Denver, CO",msa,Colorado,2023-01-31,1935.164131523694,"(39.059811, -105.311104)",39.059811,-105.311104
394358,20,"Baltimore, MD",msa,Maryland,2023-01-31,1737.5492154499843,"(39.063946, -76.802101)",39.063946,-76.802101
395121,21,"St. Louis, MO",msa,Missouri,2023-01-31,1268.9335070397658,"(38.456085, -92.288368)",38.456085,-92.288368
394943,22,"Orlando, FL",msa,Florida,2023-01-31,1981.387877880859,"(27.766279, -81.686783)",27.766279,-81.686783
394458,23,"Charlotte, NC",msa,North Carolina,2023-01-31,1742.913897155732,"(35.630066, -79.806419)",35.630066,-79.806419
395055,24,"San Antonio, TX",msa,Texas,2023-01-31,1432.7824915086503,"(31.054487, -97.563461)",31.054487,-97.563461
394998,25,"Portland, OR",msa,Oregon,2023-01-31,1795.890622868413,"(44.572021, -122.070938)",44.572021,-122.070938
395045,26,"Sacramento, CA",msa,California,2023-01-31,2144.472000957098,"(36.116203, -119.681564)",36.116203,-119.681564
394982,27,"Pittsburgh, PA",msa,Pennsylvania,2023-01-31,1328.5156112841707,"(40.590752, -77.209755)",40.590752,-77.209755
394466,28,"Cincinnati, OH",msa,Ohio,2023-01-31,1392.4824620590427,"(40.388783, -82.764915)",40.388783,-82.764915
394355,29,"Austin, TX",msa,Texas,2023-01-31,1784.7788858515305,"(31.054487, -97.563461)",31.054487,-97.563461
394775,30,"Las Vegas, NV",msa,Nevada,2023-01-31,1712.9142287367858,"(38.313515, -117.055374)",38.313515,-117.055374
394735,31,"Kansas City, MO",msa,Missouri,2023-01-31,1324.400656351999,"(38.456085, -92.288368)",38.456085,-92.288368
394492,32,"Columbus, OH",msa,Ohio,2023-01-31,1374.5491275545432,"(40.388783, -82.764915)",40.388783,-82.764915
394705,34,"Indianapolis, IN",msa,Indiana,2023-01-31,1424.0243935536569,"(39.849426, -86.258278)",39.849426,-86.258278
394475,35,"Cleveland, OH",msa,Ohio,2023-01-31,1270.9397048141886,"(40.388783, -82.764915)",40.388783,-82.764915
395059,36,"San Jose, CA",msa,California,2023-01-31,3156.3932670017484,"(36.116203, -119.681564)",36.116203,-119.681564
394902,37,"Nashville, TN",msa,Tennessee,2023-01-31,1859.0509722319184,"(35.747845, -86.692345)",35.747845,-86.692345
